名前,淡いライバーカラー,濃いライバーカラー,超濃いライバーカラー,淡いサブカラー,濃いサブカラー,ライバー文字色,サブ文字色,VtL,卒業,読み,完全読み
戌亥とこ,#92F3A4,#92F3A4,#92F3A4,#9D3757,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
アンジュ・カトリーナ,#C83C35,#C83C35,#C83C35,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
リゼ・ヘルエスタ,#42FFFF,#42FFFF,#42FFFF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,リゼ・ヘルエスタ ヘルエスタ りぜ へるえすた Lize helesta 皇女殿下,
三枝明那,#F03C32,#F03C32,#F03C32,#392D47,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,三枝明那 明那 さえぐさ あきな saegusa akina アッキーナ あっきーな,
愛園愛美,#F98FB7,#F98FB7,#F98FB7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
鈴原るる,#D7AFA8,#D7AFA8,#D7AFA8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
雪城眞尋,#B4E9FF,#B4E9FF,#B4E9FF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
エクス・アルビオ,#5C9BBC,#5C9BBC,#5C9BBC,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,エクス・アルビオ エクスアルビオ えくすあるびお あるびお ex albio えびお エビオ abo ABO,
レヴィ・エリファ,#FF5A00,#FF5A00,#ef851b,#E8E1E8,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,レヴィ・エリファ レヴィエリファ エリファ れゔぃ えりふぁ levi elipha れび 亜人,
葉山舞鈴,#72D5CE,#72D5CE,#72D5CE,#D9EC33,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ニュイ・ソシエール,#D24E5F,#D24E5F,#D24E5F,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
葉加瀬冬雪,#EEFFFF,#EEFFFF,#545f6d,#c3cee6,#acc1d3,#545f6d,#FFFFFF,「行こう！」,FALSE,葉加瀬冬雪 葉加瀬 冬雪 はかせ ふゆき hakase fuyuki huyuki はかちぇ,
加賀美ハヤト,#B9ADB9,#B9ADB9,#B9ADB9,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
夜見れな,#F7265A,#F7265A,#F7265A,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
アルス・アルマル,#7FD6E2,#7FD6E2,#7FD6E2,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
相羽ういは,#324CAC,#324CAC,#324CAC,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
天宮こころ,#C5EDFF,#C5EDFF,#C5EDFF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
エリー・コニファー,#DAFFF9,#DAFFF9,#DAFFF9,#77BC78,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,エリー・コニファー エリー コニファー えりー こにふぁー eli conifer エリコニ,
ラトナ・プティ,#F36C21,#F36C21,#F36C21,#F8B759,#F8B759,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
早瀬走,#AA7BE8,#AA7BE8,#AA7BE8,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
健屋花那,#FF2FA2,#FF2FA2,#FF2FA2,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
シェリン・バーガンディ,#6C2735,#6C2735,#6C2735,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,シェリン・バーガンディ バーガンディ しぇりん ばーがんでぃ shellin burgundy 探偵 名探偵,
フミ,#F4E49D,#F4E49D,#F4E49D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,フミ ふみ Fumi Humi,
星川サラ,#FAB80D,#FAB80D,#FAB80D,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
山神カルタ,#384B5A,#384B5A,#384B5A,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
えま★おうがすと,#B32F51,#B32F51,#B32F51,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ルイス・キャミー,#E86A74,#E86A74,#E86A74,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
魔使マオ,#C93965,#C93965,#C93965,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
不破湊,#BF69F4,#BF69F4,#BF69F4,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
白雪巴,#6E3FE7,#6E3FE7,#6E3FE7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
グウェル・オス・ガール,#F04B2D,#F04B2D,#F04B2D,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ましろ爻,#1E2232,#1E2232,#1E2232,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
来栖夏芽,#8AD1EF,#8AD1EF,#8AD1EF,,#880223,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
フレン・E・ルスタリオ,#EC1D2F,#EC1D2F,#EC1D2F,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
メリッサ・キンレンカ,#D3F377,#D3F377,#D3F377,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
イブラヒム,#7CA1F0,#7CA1F0,#7CA1F0,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
長尾景,#625DA1,#625DA1,#625DA1,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,長尾景 ながお けい ケイナガオ kei nagao 景,
弦月藤士郎,#B43246,#B43246,#B43246,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,弦月藤士郎 藤士郎 げんづき とうじろう genzuki tojiro genduki toziro touzirou おげん,
甲斐田晴,#4DD7E3,#4DD7E3,#58aba8,#ffff8e,#7c3440,#FFFFFF,#7c3440,「行こう！」,FALSE,甲斐田晴 晴 かいだ はる kaida haru,
空星きらめ,#44DDF4,#44DDF4,#44DDF4,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,空星きらめ きらめ そらほし sorahoshi sorahosi kirame きらーめ,
朝日南アカネ,#B7282E,#B7282E,#B7282E,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,朝日南 アカネ あさひな あかね asahina akane あーこ,
周央サンゴ,#EF8468,#EF8468,#EF8468,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,周央サンゴ サンゴ すおう さんご 周防 suo sango ンゴ んご ngo,
東堂コハク,#EA930A,#EA930A,#EA930A,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,東堂コハク コハク とうどう こはく todo toudou kohaku コハック こはっく,
北小路ヒスイ,#38B48B,#38B48B,#38B48B,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,北小路ヒスイ ヒスイ きたこうじ ひすい kitakoji kitakozi kitakouji kitakouzi ひすぴ ヒスピ,
西園チグサ,#3A8FB7,#3A8FB7,#3A8FB7,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,西園チグサ チグサ にしぞの ちぐさ nishizono nisizono chigusa tigusa おちぐ ちぐちゃん,
アクシア・クローネ,#00A6FE,#00A6FE,#00A6FE,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ローレン・イロアス,#C10E49,#C10E49,#C10E49,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
レオス・ヴィンセント,#234A87,#234A87,#234A87,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
オリバー・エバンス,#BCC37E,#BCC37E,#BCC37E,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
レイン・パターソン,#F74848,#F74848,#F74848,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
天ヶ瀬むゆ,#FA5578,#FA5578,#FA5578,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,天ヶ瀬むゆ 天ヶ瀬 むゆ あまがせ awagase muyu むゆち,天ヶ瀬夢癒
先斗寧,#5A7DFF,#5A7DFF,#5A7DFF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,先斗寧 先斗 寧 ぽんと ねい ponto nei,
海妹四葉,#FFE632,#FFE632,#FFE632,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,海妹四葉 海妹 四葉 うみせ よつは umise yotsuha はぴ よつはぴ,
壱百満天原サロメ,#CD3796,#CD3796,#CD3796,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
風楽奏斗,#F0F0F5,#F0F0F5,#F0F0F5,#FAD246,#FAD246,#FFFFFF,#FFFFFF,「行こう！」,FALSE,風楽奏斗 奏斗 ふうら かなと fura huura kanato KNT,
渡会雲雀,#192332,#192332,#192332,#CD3764,#CD3764,#FFFFFF,#FFFFFF,「行こう！」,FALSE,渡会雲雀 雲雀 わたらい ひばり watarai hibari ひば ばり,
四季凪アキラ,#235AAA,#235AAA,#235AAA,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,四季凪 アキラ しきなぎ あきら shikinagi akira なぎ 凪,
セラフ・ダズルガーデン,#DC3C41,#DC3C41,#DC3C41,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,セラフ・ダズルガーデン セラフダズルガーデン ダズルガーデン せらふ だずるがーでん がーでんSeraph Dazzlegarden,美園聡
タカ ラジマン,#303764,#303764,#303764,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ゼア コルネリア,#FBEC5D,#FBEC5D,#FBEC5D,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ハナ マキア,#FFEFD5,#FFEFD5,#FFEFD5,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
ライ ガリレイ,#7DF9FF,#7DF9FF,#7DF9FF,,,#FFFFFF,#FFFFFF,「行こう！」,FALSE,,
アミシア ミシェラ,#45E101,#45E101,#45E101,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
ミユ オッタフィア,#FFAB75,#FFAB75,#FFAB75,,,#FFFFFF,#FFFFFF,「行こう！」,TRUE,,
