分類,配信内容,配信日,曲名,歌手名,リンク,甲斐田歌唱,コラボライバー,演奏
弾き語り,弾き語り配信,2020/05/12,その未来へ,RIRIKO, https://youtu.be/by1ELpQq6LA?t=3296,TRUE,,
弾き語り,弾き語り配信,2020/05/12,カタオモイ,Aimer, https://youtu.be/by1ELpQq6LA?t=3624,TRUE,,
弾き語り,弾き語り配信,2020/05/12,星間飛行,中島愛, https://youtu.be/by1ELpQq6LA?t=3988,TRUE,,
弾き語り,弾き語り配信,2020/05/15,シャボン玉Days,Aqua Timez,https://youtu.be/rChRFr0_pDs?t=918,TRUE,,
弾き語り,弾き語り配信,2020/05/15,ハレ晴レユカイ,涼宮ハルヒ 長門有希 朝比奈みくる,https://youtu.be/rChRFr0_pDs?t=1266,TRUE,,
弾き語り,弾き語り配信,2020/05/15,Rainbow,ROUND TABLE feat.Nino,https://youtu.be/rChRFr0_pDs?t=2005,TRUE,,
弾き語り,弾き語り配信,2020/05/15,プラチナ,坂本真綾,https://youtu.be/rChRFr0_pDs?t=2339,TRUE,,
弾き語り,弾き語り配信,2020/05/15,BLAZE,キンヤ,https://youtu.be/rChRFr0_pDs?t=2494,TRUE,,
弾き語り,弾き語り配信,2020/05/15,Cagayake!GIRLS,放課後ティータイム,https://youtu.be/rChRFr0_pDs?t=2962,TRUE,,
弾き語り,弾き語り配信,2020/05/15,staple stable,斎藤千和,https://youtu.be/rChRFr0_pDs?t=3709,TRUE,,
弾き語り,弾き語り配信,2020/05/15,片翼のイカロス,榊原ゆい,https://youtu.be/rChRFr0_pDs?t=4197,TRUE,,
弾き語り,弾き語り配信,2020/05/15,経験値上昇中☆,みなみけ,https://youtu.be/rChRFr0_pDs?t=4526,TRUE,,
弾き語り,弾き語り配信,2020/05/15,可愛くなりたい,HoneyWorks,https://youtu.be/rChRFr0_pDs?t=3664,TRUE,,
弾き語り,弾き語り配信,2020/05/20,Butter-Fly,和田光司,https://youtu.be/6ug4MxhOLsE?t=367,TRUE,,
弾き語り,弾き語り配信,2020/05/20,ルパン三世のテーマ(口笛トランペット),大野雄二,https://youtu.be/6ug4MxhOLsE?t=742,TRUE,,
弾き語り,弾き語り配信,2020/05/20,ハナミズキ,一青窈,https://youtu.be/6ug4MxhOLsE?t=947,TRUE,,
弾き語り,弾き語り配信,2020/05/20,虹,Aqua Timez,https://youtu.be/6ug4MxhOLsE?t=1469,TRUE,,
弾き語り,弾き語り配信,2020/05/20,Let Me Be With You,ROUND TABLE,https://youtu.be/6ug4MxhOLsE?t=1995,TRUE,,
弾き語り,弾き語り配信,2020/05/20,キラメキ,wacci,https://youtu.be/6ug4MxhOLsE?t=2160,TRUE,,
弾き語り,弾き語り配信,2020/05/20,secret base〜君がくれたもの〜,ZONE,https://youtu.be/6ug4MxhOLsE?t=2597,TRUE,,
弾き語り,弾き語り配信,2020/05/20,アイのシナリオ,CHiCO with HoneyWorks,https://youtu.be/6ug4MxhOLsE?t=3147,TRUE,,
弾き語り,弾き語り配信,2020/05/20,プライド革命,"HoneyWorks feat.sana,CHICO",https://youtu.be/6ug4MxhOLsE?t=3590,TRUE,,
弾き語り,弾き語り配信,2020/05/20,シルエット,KANA-BOON,https://youtu.be/6ug4MxhOLsE?t=4048,TRUE,,
弾き語り,弾き語り配信,2020/05/20,紅蓮華,LiSA,https://youtu.be/6ug4MxhOLsE?t=4383,TRUE,,
弾き語り,弾き語り配信,2020/05/25,想像フォレスト,じん,https://youtu.be/Xw0kRcwqvC0?t=408,TRUE,,
弾き語り,弾き語り配信,2020/05/25,"rain stops, good-bye",におP,https://youtu.be/Xw0kRcwqvC0?t=820,TRUE,,
弾き語り,弾き語り配信,2020/05/25,エンヴィキャットウォーク,トーマ,https://youtu.be/Xw0kRcwqvC0?t=1245,TRUE,,
弾き語り,弾き語り配信,2020/05/25,少年と魔法のロボット,40mP,https://youtu.be/Xw0kRcwqvC0?t=1630,TRUE,,
弾き語り,弾き語り配信,2020/05/25,心拍数#0822,蝶々P,https://youtu.be/Xw0kRcwqvC0?t=2056,TRUE,,
弾き語り,弾き語り配信,2020/05/25,メランコリック,Junky,https://youtu.be/Xw0kRcwqvC0?t=2662,TRUE,,
弾き語り,弾き語り配信,2020/05/25,神のまにまに,れるりり,https://youtu.be/Xw0kRcwqvC0?t=3011,TRUE,,
弾き語り,弾き語り配信,2020/05/25,命に嫌われている。,カンザキイオリ,https://youtu.be/Xw0kRcwqvC0?t=3365,TRUE,,
弾き語り,弾き語り配信,2020/05/25,小夜子,みきとP,https://youtu.be/Xw0kRcwqvC0?t=3559,TRUE,,
弾き語り,弾き語り配信,2020/05/25,"Hello,Worker",KEI,https://youtu.be/Xw0kRcwqvC0?t=3885,TRUE,,
弾き語り,弾き語り配信,2020/05/28,WISH,嵐,https://youtu.be/lGgYrydEoYo?t=102,TRUE,,
弾き語り,弾き語り配信,2020/05/28,虹,二宮和也,https://youtu.be/lGgYrydEoYo?t=452,TRUE,,
弾き語り,弾き語り配信,2020/05/28,ボクノート,スキマスイッチ,https://youtu.be/lGgYrydEoYo?t=829,TRUE,,
弾き語り,弾き語り配信,2020/05/28,三日月,絢香,https://youtu.be/lGgYrydEoYo?t=1558,TRUE,,
弾き語り,弾き語り配信,2020/05/28,となりのトトロ,井上あずみ,https://youtu.be/lGgYrydEoYo?t=1935,TRUE,,
弾き語り,弾き語り配信,2020/05/28,いのちの名前,木村弓,https://youtu.be/lGgYrydEoYo?t=2224,TRUE,,
弾き語り,弾き語り配信,2020/05/28,ぼうやの夢よ,エミリア,https://youtu.be/lGgYrydEoYo?t=2792,TRUE,,
弾き語り,弾き語り配信,2020/05/28,MANKAI☆開花宣言,A3ders!,https://youtu.be/lGgYrydEoYo?t=3104,TRUE,,
弾き語り,弾き語り配信,2020/05/28,ホウキ雲,RYTHEM,https://youtu.be/lGgYrydEoYo?t=3618,TRUE,,
弾き語り,弾き語り配信,2020/05/28,ほうき星,ユンナ,https://youtu.be/lGgYrydEoYo?t=4000,TRUE,,
弾き語り,弾き語り配信,2020/05/28,きみにとどけ,タニザワトモフミ,https://youtu.be/lGgYrydEoYo?t=4734,TRUE,,
弾き語り,弾き語り配信,2020/05/28,ぼなぺてぃーと♡S,ブレンド・A,https://youtu.be/lGgYrydEoYo?t=5140,TRUE,,
弾き語り,弾き語り配信,2020/05/28,Pretender,official髭男dism,https://youtu.be/lGgYrydEoYo?t=5659,TRUE,,
弾き語り,弾き語り配信,2020/06/01,バラライカ,月島きらり,https://youtu.be/srvKq_OYCQU?t=304,TRUE,,
弾き語り,弾き語り配信,2020/06/01,恋☆カナ,月島きらりstarring久住小春,https://youtu.be/srvKq_OYCQU?t=575,TRUE,,
弾き語り,弾き語り配信,2020/06/01,Ghost of a smile,EGOIST,https://youtu.be/srvKq_OYCQU?t=1083,TRUE,,
弾き語り,弾き語り配信,2020/06/01,創聖のアクエリオン,AKINO,https://youtu.be/srvKq_OYCQU?t=1723,TRUE,,
弾き語り,弾き語り配信,2020/06/01,カルマ,BUMP OF CHICKEN,https://youtu.be/srvKq_OYCQU?t=2240,TRUE,,
弾き語り,弾き語り配信,2020/06/01,irony,ClariS,https://youtu.be/srvKq_OYCQU?t=2720,TRUE,,
弾き語り,弾き語り配信,2020/06/01,D-tecnoLife,UVERworld,https://youtu.be/srvKq_OYCQU?t=3220,TRUE,,
弾き語り,弾き語り配信,2020/06/01,君じゃなきゃダメみたい,オーイシマサヨシ,https://youtu.be/srvKq_OYCQU?t=3900,TRUE,,
弾き語り,弾き語り配信,2020/06/01,ヒカリ,樹海,https://youtu.be/srvKq_OYCQU?t=4440,TRUE,,
弾き語り,弾き語り配信,2020/06/01,フローリア,佐香智久,https://youtu.be/srvKq_OYCQU?t=4936,TRUE,,
弾き語り,弾き語り配信,2020/06/01,僕の流れ星,佐香智久,https://youtu.be/srvKq_OYCQU?t=5243,TRUE,,
弾き語り,弾き語り配信,2020/06/01,一滴の影響,UVERworld,https://youtu.be/srvKq_OYCQU?t=5613,TRUE,,
弾き語り,弾き語り配信,2020/06/01,小さきもの,林明日香,https://youtu.be/srvKq_OYCQU?t=6492,TRUE,,
弾き語り,弾き語り配信,2020/06/03,白金ディスコ,井口裕香,https://youtu.be/Lq_gsNfB4tE?t=372,TRUE,,
弾き語り,弾き語り配信,2020/06/03,Love so sweet,嵐,https://youtu.be/Lq_gsNfB4tE?t=750,TRUE,,
弾き語り,弾き語り配信,2020/06/03,瞳をとじて,平井堅,https://youtu.be/Lq_gsNfB4tE?t=1177,TRUE,,
弾き語り,弾き語り配信,2020/06/03,My Dearest,supercell,https://youtu.be/Lq_gsNfB4tE?t=1610,TRUE,,
弾き語り,弾き語り配信,2020/06/03,キミソラキセキ,EGOIST,https://youtu.be/Lq_gsNfB4tE?t=2287,TRUE,,
弾き語り,弾き語り配信,2020/06/03,Perfect Day,supercell,https://youtu.be/Lq_gsNfB4tE?t=2613,TRUE,,
弾き語り,弾き語り配信,2020/06/03,The Over,UVERworld,https://youtu.be/Lq_gsNfB4tE?t=3170,TRUE,,
弾き語り,弾き語り配信,2020/06/03,七色シンフォニー,コアラモード.,https://youtu.be/Lq_gsNfB4tE?t=4224,TRUE,,
弾き語り,弾き語り配信,2020/06/03,エガオノキミヘ,三森すずこ,https://youtu.be/Lq_gsNfB4tE?t=4659,TRUE,,
弾き語り,弾き語り配信,2020/06/03,変わらないもの,奥華子,https://youtu.be/Lq_gsNfB4tE?t=5132,TRUE,,
弾き語り,弾き語り配信,2020/06/06,RAINBOW GIRL,となさ,https://youtu.be/wLRRvU94akM?t=313,TRUE,,
弾き語り,弾き語り配信,2020/06/06,SPiCa,とくP,https://youtu.be/wLRRvU94akM?t=546,TRUE,,
弾き語り,弾き語り配信,2020/06/06,サマータイムレコード,じん,https://youtu.be/wLRRvU94akM?t=1042,TRUE,,
弾き語り,弾き語り配信,2020/06/06,Fire◎Flower,halyosy,https://youtu.be/wLRRvU94akM?t=1425,TRUE,,
弾き語り,弾き語り配信,2020/06/06,夏の終わり、恋の始まり,すこっぷ,https://youtu.be/wLRRvU94akM?t=1803,TRUE,,
弾き語り,弾き語り配信,2020/06/06,Booo!,TOKOTOKO(西沢さんＰ),https://youtu.be/wLRRvU94akM?t=2224,TRUE,,
弾き語り,弾き語り配信,2020/06/06,フタリボシ,40mP,https://youtu.be/wLRRvU94akM?t=2440,TRUE,,
弾き語り,弾き語り配信,2020/06/06,（即興メドレー）,,https://youtu.be/wLRRvU94akM?t=2905,TRUE,,
弾き語り,弾き語り配信,2020/06/06,幽霊東京,Ayase,https://youtu.be/wLRRvU94akM?t=4027,TRUE,,
弾き語り,弾き語り配信,2020/06/06,Just a game,takamatt,https://youtu.be/wLRRvU94akM?t=4304,TRUE,,
弾き語り,弾き語り配信,2020/06/06,敗北の少年,kemu,https://youtu.be/wLRRvU94akM?t=4840,TRUE,,
"コラボ, カラオケ",公式番組,2020/06/09,YUME日和,島谷ひとみ,https://www.nicovideo.jp/watch/so37300790?from=2714,TRUE,,
"コラボ, カラオケ",公式番組,2020/06/09,小さきもの,林明日香,https://www.nicovideo.jp/watch/so37300790?from=3624,TRUE,,
弾き語り,弾き語り配信,2020/06/10,しおり,Aquq Timez,https://youtu.be/qn_tXrRH0LU?t=305,TRUE,,
弾き語り,弾き語り配信,2020/06/10,シンフォニー,牧野由依,https://youtu.be/qn_tXrRH0LU?t=1348,TRUE,,
弾き語り,弾き語り配信,2020/06/10,火炎,女王蜂,https://youtu.be/qn_tXrRH0LU?t=1730,TRUE,,
弾き語り,弾き語り配信,2020/06/10,らしさ,SUPER BEAVER,https://youtu.be/qn_tXrRH0LU?t=2214,TRUE,,
弾き語り,弾き語り配信,2020/06/10,イマジネーション,SPYAIR,https://youtu.be/qn_tXrRH0LU?t=2801,TRUE,,
弾き語り,弾き語り配信,2020/06/10,God knows...,涼宮ハルヒ,https://youtu.be/qn_tXrRH0LU?t=3297,TRUE,,
弾き語り,弾き語り配信,2020/06/10,オトモダチフィルム,オーイシマサヨシ,https://youtu.be/qn_tXrRH0LU?t=4098,TRUE,,
弾き語り,弾き語り配信,2020/06/10,All Alone With You,EGOIST,https://youtu.be/qn_tXrRH0LU?t=4283,TRUE,,
弾き語り,弾き語り配信,2020/06/10,ユメセカイ,戸松遥,https://youtu.be/qn_tXrRH0LU?t=4624,TRUE,,
弾き語り,弾き語り配信,2020/06/10,エウテルペ,EGOIST,https://youtu.be/qn_tXrRH0LU?t=5208,TRUE,,
弾き語り,弾き語り配信,2020/06/11,（即興メドレー）,,https://youtu.be/QenfuS3XzNE,TRUE,,
弾き語り,弾き語り配信,2020/06/14,君じゃなきゃダメみたい,オーイシマサヨシ,https://youtu.be/1uZsn_iutSw?t=94,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,青いベンチ,サスケ,https://youtu.be/1uZsn_iutSw?t=479,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,白日,King Gnu,https://youtu.be/1uZsn_iutSw?t=782,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,英雄,doa,https://www.youtube.com/live/1uZsn_iutSw?si=PxOgQTs21hZ_liSp&t=1295,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,CHANGE THE WORLD,V6,https://youtu.be/1uZsn_iutSw?t=1681,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,Pretender,Official髭男Dism,https://youtu.be/1uZsn_iutSw?t=2068,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,メリッサ,ポルノグラフィティ,https://youtu.be/1uZsn_iutSw?t=2954,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,僕が死のうと思ったのは,中島美嘉,https://www.youtube.com/live/1uZsn_iutSw?si=Qs_cScpwyXT_PueH&t=3297,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,火炎,女王蜂,https://www.youtube.com/live/1uZsn_iutSw?si=dft-BKuma4q490O5&t=3820,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,チチをもげ！,パルコ・フォルゴレ(高橋広樹),https://youtu.be/1uZsn_iutSw?t=4532,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,トイレの神様,植村花菜,https://www.youtube.com/live/1uZsn_iutSw?si=NM2znyoDku-M8PDB&t=4959,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,光るなら,Goose house,https://youtu.be/1uZsn_iutSw?t=5221,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,とびら開けて,神田沙也加、津田英佑,https://www.youtube.com/live/1uZsn_iutSw?si=0IOL-HqRFCRas3V3&t=5688,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,君の知らない物語,supercell,https://www.youtube.com/live/1uZsn_iutSw?si=pk8u1k6tdbQSubKi&t=6139,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/14,Butter-Fly,和田光司,https://youtu.be/1uZsn_iutSw?t=6729,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/06/17,いつも何度でも,木村弓,https://youtu.be/mLxchYqT5zc?t=305,TRUE,,
弾き語り,弾き語り配信,2020/06/17,タイヨウのうた,Kaoru Amane,https://youtu.be/mLxchYqT5zc?t=660,TRUE,,
弾き語り,弾き語り配信,2020/06/17,雪の華,中島美嘉,https://youtu.be/mLxchYqT5zc?t=1019,TRUE,,
弾き語り,弾き語り配信,2020/06/17,粉雪,レミオロメン,https://youtu.be/mLxchYqT5zc?t=1535,TRUE,,
弾き語り,弾き語り配信,2020/06/17,涙そうそう,夏川りみ,https://youtu.be/mLxchYqT5zc?t=1963,TRUE,,
弾き語り,弾き語り配信,2020/06/17,少年時代,井上陽水,https://youtu.be/mLxchYqT5zc?t=2242,TRUE,,
弾き語り,弾き語り配信,2020/06/17,大きな古時計,平井堅,https://youtu.be/mLxchYqT5zc?t=2597,TRUE,,
弾き語り,弾き語り配信,2020/06/17,ポケットにファンタジー,さち＆じゅり,https://youtu.be/mLxchYqT5zc?t=3070,TRUE,,
弾き語り,弾き語り配信,2020/06/17,ひとりぼっちじゃない,coba&宮沢和史,https://youtu.be/mLxchYqT5zc?t=3288,TRUE,,
弾き語り,弾き語り配信,2020/06/17,うたかた花火,supercell,https://youtu.be/mLxchYqT5zc?t=3532,TRUE,,
弾き語り,弾き語り配信,2020/06/17,シルシ,LiSA,https://youtu.be/mLxchYqT5zc?t=3970,TRUE,,
弾き語り,弾き語り配信,2020/06/29,月光花,Janne Da Arc,https://youtu.be/mFcBjVVf8D4?t=1298,TRUE,,
