分類,配信内容,配信日,No.,曲名,歌手名,リンク,甲斐田歌唱,コラボライバー,演奏
弾き語り,弾き語り配信,2020/05/11,9,ヒバナ,DECO*27,https://youtu.be/qxU7b1mSwKE?t=3646,TRUE,,
弾き語り,弾き語り配信,2020/05/11,10,アヤノの幸福理論,じん,https://youtu.be/qxU7b1mSwKE?t=3804,TRUE,,
弾き語り,弾き語り配信,2020/05/11,11,想像フォレスト,じん,https://youtu.be/qxU7b1mSwKE?t=3994,TRUE,,
弾き語り,弾き語り配信,2020/05/11,12,如月アテンション,じん,https://youtu.be/qxU7b1mSwKE?t=4150,TRUE,,
弾き語り,弾き語り配信,2020/05/11,13,ハロハワユ,ナノウ,https://youtu.be/qxU7b1mSwKE?t=4282,TRUE,,
弾き語り,弾き語り配信,2020/05/11,14,心做し,蝶々P,https://youtu.be/qxU7b1mSwKE?t=4708,TRUE,,
弾き語り,弾き語り配信,2020/05/11,15,地球最後の告白を,kemu,https://youtu.be/qxU7b1mSwKE?t=5129,TRUE,,
弾き語り,弾き語り配信,2020/05/11,16,ピエロ,KEI,https://youtu.be/qxU7b1mSwKE?t=5290,TRUE,,
弾き語り,弾き語り配信,2020/05/12,1,プラネタリウム,大塚愛, https://youtu.be/by1ELpQq6LA?t=374,TRUE,,
弾き語り,弾き語り配信,2020/05/12,2,硝子の少年,KinKi Kids, https://youtu.be/by1ELpQq6LA?t=663,TRUE,,
弾き語り,弾き語り配信,2020/05/12,3,光るなら,Goosehouse, https://youtu.be/by1ELpQq6LA?t=1074,TRUE,,
弾き語り,弾き語り配信,2020/05/12,4,カワキヲアメク,美波, https://youtu.be/by1ELpQq6LA?t=1449,TRUE,,
弾き語り,弾き語り配信,2020/05/12,5,ここにしか咲かない花,コブクロ, https://youtu.be/by1ELpQq6LA?t=1677,TRUE,,
弾き語り,弾き語り配信,2020/05/12,6,CHANGE THE WORLD,V6, https://youtu.be/by1ELpQq6LA?t=2282,TRUE,,
弾き語り,弾き語り配信,2020/05/12,7,ひまわりの約束,秦基博, https://youtu.be/by1ELpQq6LA?t=2787,TRUE,,
弾き語り,弾き語り配信,2020/05/12,8,その未来へ,RIRIKO, https://youtu.be/by1ELpQq6LA?t=3296,TRUE,,
弾き語り,弾き語り配信,2020/05/12,9,カタオモイ,Aimer, https://youtu.be/by1ELpQq6LA?t=3624,TRUE,,
弾き語り,弾き語り配信,2020/05/12,10,星間飛行,中島愛, https://youtu.be/by1ELpQq6LA?t=3988,TRUE,,
弾き語り,弾き語り配信,2020/05/15,1,シャボン玉Days,Aqua Timez,https://youtu.be/rChRFr0_pDs?t=918,TRUE,,
弾き語り,弾き語り配信,2020/05/15,2,ハレ晴レユカイ,涼宮ハルヒ 長門有希 朝比奈みくる,https://youtu.be/rChRFr0_pDs?t=1266,TRUE,,
弾き語り,弾き語り配信,2020/05/15,3,Rainbow,ROUND TABLE feat.Nino,https://youtu.be/rChRFr0_pDs?t=2005,TRUE,,
弾き語り,弾き語り配信,2020/05/15,4,プラチナ,坂本真綾,https://youtu.be/rChRFr0_pDs?t=2339,TRUE,,
弾き語り,弾き語り配信,2020/05/15,5,BLAZE,キンヤ,https://youtu.be/rChRFr0_pDs?t=2494,TRUE,,
弾き語り,弾き語り配信,2020/05/15,6,Cagayake!GIRLS,放課後ティータイム,https://youtu.be/rChRFr0_pDs?t=2962,TRUE,,
弾き語り,弾き語り配信,2020/05/15,7,staple stable,斎藤千和,https://youtu.be/rChRFr0_pDs?t=3709,TRUE,,
弾き語り,弾き語り配信,2020/05/15,8,片翼のイカロス,榊原ゆい,https://youtu.be/rChRFr0_pDs?t=4197,TRUE,,
弾き語り,弾き語り配信,2020/05/15,9,経験値上昇中☆,みなみけ,https://youtu.be/rChRFr0_pDs?t=4526,TRUE,,
弾き語り,弾き語り配信,2020/05/15,10,可愛くなりたい,HoneyWorks,https://youtu.be/rChRFr0_pDs?t=3664,TRUE,,
弾き語り,弾き語り配信,2020/05/20,1,Butter-Fly,和田光司,https://youtu.be/6ug4MxhOLsE?t=367,TRUE,,
弾き語り,弾き語り配信,2020/05/20,2,ルパン三世のテーマ(口笛トランペット),大野雄二,https://youtu.be/6ug4MxhOLsE?t=742,TRUE,,
弾き語り,弾き語り配信,2020/05/20,3,ハナミズキ,一青窈,https://youtu.be/6ug4MxhOLsE?t=947,TRUE,,
弾き語り,弾き語り配信,2020/05/20,4,虹,Aqua Timez,https://youtu.be/6ug4MxhOLsE?t=1469,TRUE,,
弾き語り,弾き語り配信,2020/05/20,5,Let Me Be With You,ROUND TABLE,https://youtu.be/6ug4MxhOLsE?t=1995,TRUE,,
弾き語り,弾き語り配信,2020/05/20,6,キラメキ,wacci,https://youtu.be/6ug4MxhOLsE?t=2160,TRUE,,
弾き語り,弾き語り配信,2020/05/20,7,secret base〜君がくれたもの〜,ZONE,https://youtu.be/6ug4MxhOLsE?t=2597,TRUE,,
弾き語り,弾き語り配信,2020/05/20,8,アイのシナリオ,CHiCO with HoneyWorks,https://youtu.be/6ug4MxhOLsE?t=3147,TRUE,,
弾き語り,弾き語り配信,2020/05/20,9,プライド革命,"HoneyWorks feat.sana,CHICO",https://youtu.be/6ug4MxhOLsE?t=3590,TRUE,,
弾き語り,弾き語り配信,2020/05/20,10,シルエット,KANA-BOON,https://youtu.be/6ug4MxhOLsE?t=4048,TRUE,,
弾き語り,弾き語り配信,2020/05/20,11,紅蓮華,LiSA,https://youtu.be/6ug4MxhOLsE?t=4383,TRUE,,
弾き語り,弾き語り配信,2020/05/25,1,想像フォレスト,じん,https://youtu.be/Xw0kRcwqvC0?t=408,TRUE,,
弾き語り,弾き語り配信,2020/05/25,2,"rain stops, good-bye",におP,https://youtu.be/Xw0kRcwqvC0?t=820,TRUE,,
弾き語り,弾き語り配信,2020/05/25,3,エンヴィキャットウォーク,トーマ,https://youtu.be/Xw0kRcwqvC0?t=1245,TRUE,,
弾き語り,弾き語り配信,2020/05/25,4,少年と魔法のロボット,40mP,https://youtu.be/Xw0kRcwqvC0?t=1630,TRUE,,
弾き語り,弾き語り配信,2020/05/25,5,心拍数#0822,蝶々P,https://youtu.be/Xw0kRcwqvC0?t=2056,TRUE,,
弾き語り,弾き語り配信,2020/05/25,6,メランコリック,Junky,https://youtu.be/Xw0kRcwqvC0?t=2662,TRUE,,
弾き語り,弾き語り配信,2020/05/25,7,神のまにまに,れるりり,https://youtu.be/Xw0kRcwqvC0?t=3011,TRUE,,
弾き語り,弾き語り配信,2020/05/25,8,命に嫌われている。,カンザキイオリ,https://youtu.be/Xw0kRcwqvC0?t=3365,TRUE,,
弾き語り,弾き語り配信,2020/05/25,9,小夜子,みきとP,https://youtu.be/Xw0kRcwqvC0?t=3559,TRUE,,
弾き語り,弾き語り配信,2020/05/25,10,"Hello,Worker",KEI,https://youtu.be/Xw0kRcwqvC0?t=3885,TRUE,,
弾き語り,弾き語り配信,2020/05/28,1,WISH,嵐,https://youtu.be/lGgYrydEoYo?t=102,TRUE,,
弾き語り,弾き語り配信,2020/05/28,2,虹,二宮和也,https://youtu.be/lGgYrydEoYo?t=452,TRUE,,
弾き語り,弾き語り配信,2020/05/28,3,ボクノート,スキマスイッチ,https://youtu.be/lGgYrydEoYo?t=829,TRUE,,
弾き語り,弾き語り配信,2020/05/28,4,三日月,絢香,https://youtu.be/lGgYrydEoYo?t=1558,TRUE,,
弾き語り,弾き語り配信,2020/05/28,5,となりのトトロ,井上あずみ,https://youtu.be/lGgYrydEoYo?t=1935,TRUE,,
弾き語り,弾き語り配信,2020/05/28,6,いのちの名前,木村弓,https://youtu.be/lGgYrydEoYo?t=2224,TRUE,,
弾き語り,弾き語り配信,2020/05/28,7,ぼうやの夢よ,エミリア,https://youtu.be/lGgYrydEoYo?t=2792,TRUE,,
弾き語り,弾き語り配信,2020/05/28,8,MANKAI☆開花宣言,A3ders!,https://youtu.be/lGgYrydEoYo?t=3104,TRUE,,
弾き語り,弾き語り配信,2020/05/28,9,ホウキ雲,RYTHEM,https://youtu.be/lGgYrydEoYo?t=3618,TRUE,,
弾き語り,弾き語り配信,2020/05/28,10,ほうき星,ユンナ,https://youtu.be/lGgYrydEoYo?t=4000,TRUE,,
弾き語り,弾き語り配信,2020/05/28,11,きみにとどけ,タニザワトモフミ,https://youtu.be/lGgYrydEoYo?t=4734,TRUE,,
弾き語り,弾き語り配信,2020/05/28,12,ぼなぺてぃーと♡S,ブレンド・A,https://youtu.be/lGgYrydEoYo?t=5140,TRUE,,
弾き語り,弾き語り配信,2020/05/28,13,Pretender,official髭男dism,https://youtu.be/lGgYrydEoYo?t=5659,TRUE,,
弾き語り,弾き語り配信,2020/06/01,1,バラライカ,月島きらり,https://youtu.be/srvKq_OYCQU?t=304,TRUE,,
弾き語り,弾き語り配信,2020/06/01,2,恋☆カナ,月島きらりstarring久住小春,https://youtu.be/srvKq_OYCQU?t=575,TRUE,,
弾き語り,弾き語り配信,2020/06/01,3,Ghost of a smile,EGOIST,https://youtu.be/srvKq_OYCQU?t=1083,TRUE,,
弾き語り,弾き語り配信,2020/06/01,4,創聖のアクエリオン,AKINO,https://youtu.be/srvKq_OYCQU?t=1723,TRUE,,
弾き語り,弾き語り配信,2020/06/01,5,カルマ,BUMP OF CHICKEN,https://youtu.be/srvKq_OYCQU?t=2240,TRUE,,
弾き語り,弾き語り配信,2020/06/01,6,irony,ClariS,https://youtu.be/srvKq_OYCQU?t=2720,TRUE,,
弾き語り,弾き語り配信,2020/06/01,7,D-tecnoLife,UVERworld,https://youtu.be/srvKq_OYCQU?t=3220,TRUE,,
弾き語り,弾き語り配信,2020/06/01,8,君じゃなきゃダメみたい,オーイシマサヨシ,https://youtu.be/srvKq_OYCQU?t=3900,TRUE,,
弾き語り,弾き語り配信,2020/06/01,9,ヒカリ,樹海,https://youtu.be/srvKq_OYCQU?t=4440,TRUE,,
弾き語り,弾き語り配信,2020/06/01,10,フローリア,佐香智久,https://youtu.be/srvKq_OYCQU?t=4936,TRUE,,
弾き語り,弾き語り配信,2020/06/01,11,僕の流れ星,佐香智久,https://youtu.be/srvKq_OYCQU?t=5243,TRUE,,
弾き語り,弾き語り配信,2020/06/01,12,一滴の影響,UVERworld,https://youtu.be/srvKq_OYCQU?t=5613,TRUE,,
弾き語り,弾き語り配信,2020/06/01,13,小さきもの,林明日香,https://youtu.be/srvKq_OYCQU?t=6492,TRUE,,
弾き語り,弾き語り配信,2020/06/03,1,白金ディスコ,井口裕香,https://youtu.be/Lq_gsNfB4tE?t=372,TRUE,,
弾き語り,弾き語り配信,2020/06/03,2,Love so sweet,嵐,https://youtu.be/Lq_gsNfB4tE?t=750,TRUE,,
弾き語り,弾き語り配信,2020/06/03,3,瞳をとじて,平井堅,https://youtu.be/Lq_gsNfB4tE?t=1177,TRUE,,
弾き語り,弾き語り配信,2020/06/03,4,My Dearest,supercell,https://youtu.be/Lq_gsNfB4tE?t=1610,TRUE,,
弾き語り,弾き語り配信,2020/06/03,5,キミソラキセキ,EGOIST,https://youtu.be/Lq_gsNfB4tE?t=2287,TRUE,,
弾き語り,弾き語り配信,2020/06/03,6,Perfect Day,supercell,https://youtu.be/Lq_gsNfB4tE?t=2613,TRUE,,
弾き語り,弾き語り配信,2020/06/03,7,The Over,UVERworld,https://youtu.be/Lq_gsNfB4tE?t=3170,TRUE,,
弾き語り,弾き語り配信,2020/06/03,8,七色シンフォニー,コアラモード.,https://youtu.be/Lq_gsNfB4tE?t=4224,TRUE,,
弾き語り,弾き語り配信,2020/06/03,9,エガオノキミヘ,三森すずこ,https://youtu.be/Lq_gsNfB4tE?t=4659,TRUE,,
弾き語り,弾き語り配信,2020/06/03,10,変わらないもの,奥華子,https://youtu.be/Lq_gsNfB4tE?t=5132,TRUE,,
弾き語り,弾き語り配信,2020/06/06,1,RAINBOW GIRL,となさ,https://youtu.be/wLRRvU94akM?t=313,TRUE,,
弾き語り,弾き語り配信,2020/06/06,2,SPiCa,とくP,https://youtu.be/wLRRvU94akM?t=546,TRUE,,
弾き語り,弾き語り配信,2020/06/06,3,サマータイムレコード,じん,https://youtu.be/wLRRvU94akM?t=1042,TRUE,,
弾き語り,弾き語り配信,2020/06/06,4,Fire◎Flower,halyosy,https://youtu.be/wLRRvU94akM?t=1425,TRUE,,
弾き語り,弾き語り配信,2020/06/06,5,夏の終わり、恋の始まり,すこっぷ,https://youtu.be/wLRRvU94akM?t=1803,TRUE,,
弾き語り,弾き語り配信,2020/06/06,6,Booo!,TOKOTOKO(西沢さんＰ),https://youtu.be/wLRRvU94akM?t=2224,TRUE,,
弾き語り,弾き語り配信,2020/06/06,7,フタリボシ,40mP,https://youtu.be/wLRRvU94akM?t=2440,TRUE,,
弾き語り,弾き語り配信,2020/06/06,8,（即興メドレー）,,https://youtu.be/wLRRvU94akM?t=2905,TRUE,,
弾き語り,弾き語り配信,2020/06/06,9,幽霊東京,Ayase,https://youtu.be/wLRRvU94akM?t=4027,TRUE,,
弾き語り,弾き語り配信,2020/06/06,10,Just a game,takamatt,https://youtu.be/wLRRvU94akM?t=4304,TRUE,,
弾き語り,弾き語り配信,2020/06/06,11,敗北の少年,kemu,https://youtu.be/wLRRvU94akM?t=4840,TRUE,,
歌唱のみ,にじさんじのハッピーアワー!!,2020/06/09,1,YUME日和,島谷ひとみ,https://www.nicovideo.jp/watch/so37300790?from=2714,TRUE,,
歌唱のみ,にじさんじのハッピーアワー!!,2020/06/09,2,小さきもの,林明日香,https://www.nicovideo.jp/watch/so37300790?from=3624,TRUE,,
弾き語り,弾き語り配信,2020/06/10,1,しおり,Aquq Timez,https://youtu.be/qn_tXrRH0LU?t=305,TRUE,,
弾き語り,弾き語り配信,2020/06/10,2,シンフォニー,牧野由依,https://youtu.be/qn_tXrRH0LU?t=1348,TRUE,,
弾き語り,弾き語り配信,2020/06/10,3,火炎,女王蜂,https://youtu.be/qn_tXrRH0LU?t=1730,TRUE,,
弾き語り,弾き語り配信,2020/06/10,4,らしさ,SUPER BEAVER,https://youtu.be/qn_tXrRH0LU?t=2214,TRUE,,
弾き語り,弾き語り配信,2020/06/10,5,イマジネーション,SPYAIR,https://youtu.be/qn_tXrRH0LU?t=2801,TRUE,,
弾き語り,弾き語り配信,2020/06/10,6,God knows...,涼宮ハルヒ,https://youtu.be/qn_tXrRH0LU?t=3297,TRUE,,
弾き語り,弾き語り配信,2020/06/10,7,オトモダチフィルム,オーイシマサヨシ,https://youtu.be/qn_tXrRH0LU?t=4098,TRUE,,
弾き語り,弾き語り配信,2020/06/10,8,All Alone With You,EGOIST,https://youtu.be/qn_tXrRH0LU?t=4283,TRUE,,
弾き語り,弾き語り配信,2020/06/10,9,ユメセカイ,戸松遥,https://youtu.be/qn_tXrRH0LU?t=4624,TRUE,,
弾き語り,弾き語り配信,2020/06/10,10,エウテルペ,EGOIST,https://youtu.be/qn_tXrRH0LU?t=5208,TRUE,,
弾き語り,6・7万人記念弾き語り,2020/06/11,1,（即興メドレー）,,https://youtu.be/QenfuS3XzNE,TRUE,,
"弾き語り, コラボ",弾き語り配信,2020/06/14,1,君じゃなきゃダメみたい,オーイシマサヨシ,https://youtu.be/1uZsn_iutSw?t=94,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,2,青いベンチ,サスケ,https://youtu.be/1uZsn_iutSw?t=479,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,3,白日,King Gnu,https://youtu.be/1uZsn_iutSw?t=782,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語り配信,2020/06/14,4,英雄,doa,https://www.youtube.com/live/1uZsn_iutSw?si=PxOgQTs21hZ_liSp&t=1295,FALSE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,5,CHANGE THE WORLD,V6,https://youtu.be/1uZsn_iutSw?t=1681,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,6,Pretender,Official髭男Dism,https://youtu.be/1uZsn_iutSw?t=2068,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,7,メリッサ,ポルノグラフィティ,https://youtu.be/1uZsn_iutSw?t=2954,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語り配信,2020/06/14,8,僕が死のうと思ったのは,中島美嘉,https://www.youtube.com/live/1uZsn_iutSw?si=Qs_cScpwyXT_PueH&t=3297,FALSE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語り配信,2020/06/14,9,火炎,女王蜂,https://www.youtube.com/live/1uZsn_iutSw?si=dft-BKuma4q490O5&t=3820,FALSE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,10,チチをもげ！,パルコ・フォルゴレ(高橋広樹),https://youtu.be/1uZsn_iutSw?t=4532,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語り配信,2020/06/14,11,トイレの神様,植村花菜,https://www.youtube.com/live/1uZsn_iutSw?si=NM2znyoDku-M8PDB&t=4959,FALSE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,12,光るなら,Goose house,https://youtu.be/1uZsn_iutSw?t=5221,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,13,とびら開けて,神田沙也加、津田英佑,https://www.youtube.com/live/1uZsn_iutSw?si=0IOL-HqRFCRas3V3&t=5688,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語り配信,2020/06/14,14,君の知らない物語,supercell,https://www.youtube.com/live/1uZsn_iutSw?si=pk8u1k6tdbQSubKi&t=6139,FALSE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語り配信,2020/06/14,15,Butter-Fly,和田光司,https://youtu.be/1uZsn_iutSw?t=6729,TRUE,レヴィ・エリファ,甲斐田晴
